"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"1413568","08/02/2015 11:35:46 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7375609410717,-73.9931763547525,2015,8
"1413586","08/02/2015 11:32:01 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7748437892817,-73.978679965836,2015,8
"1413746","08/02/2015 10:44:33 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7437988124441,-73.9837205997444,2015,8
"1413858","08/02/2015 10:11:04 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.7456880427746,-73.9915767684514,2015,8
"1414250","08/02/2015 08:20:18 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10023","MANHATTAN",40.7748437892817,-73.978679965836,2015,8
"1414261","08/02/2015 08:18:47 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10002","MANHATTAN",40.7208993835845,-73.9841374577304,2015,8
"1414416","08/02/2015 07:32:14 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10012","MANHATTAN",40.7262826576342,-73.9918462039361,2015,8
"1414462","08/02/2015 07:16:00 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.732817534913,-73.9875371798084,2015,8
"1414582","08/02/2015 06:40:31 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7748437892817,-73.978679965836,2015,8
"1414692","08/02/2015 06:05:45 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10023","MANHATTAN",40.7736259295828,-73.983590553296,2015,8
"1414748","08/02/2015 05:48:31 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10035","MANHATTAN",40.805265890531,-73.9388931602023,2015,8
