"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2602445","01/06/2015 08:49:50 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10036","MANHATTAN",40.7609132198228,-73.9925783535891,2015,1
"2602974","01/06/2015 01:10:27 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10019","MANHATTAN",40.7612512766817,-73.9758542580858,2015,1
"2607143","01/05/2015 08:31:36 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10017","MANHATTAN",40.7531634336821,-73.9683245171051,2015,1
"2607244","01/05/2015 07:45:40 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7328230212939,-73.9875083129542,2015,1
"2607731","01/05/2015 04:38:53 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10003","MANHATTAN",40.7324272038655,-73.9830306021449,2015,1
"2613375","01/04/2015 11:38:27 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10012","MANHATTAN",40.722119101899,-73.9967026088465,2015,1
"2613391","01/04/2015 11:27:27 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10026","MANHATTAN",40.8012622115845,-73.959582409479,2015,1
"2613451","01/04/2015 10:34:55 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7713668571661,-73.9603839921439,2015,1
"2614532","01/04/2015 11:51:26 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7373413528795,-73.9930428637333,2015,1
"2614620","01/04/2015 10:59:29 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.8043001302837,-73.9666169422903,2015,1
"2614626","01/04/2015 10:54:08 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10036","MANHATTAN",40.7575854424021,-73.9821254099568,2015,1
"2614808","01/04/2015 09:07:34 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10013","MANHATTAN",40.7224292776637,-74.0025903040118,2015,1
"2614938","01/04/2015 04:19:01 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10128","MANHATTAN",40.7812319446349,-73.9478556873183,2015,1
"2617425","01/03/2015 01:20:45 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7373413528795,-73.9930428637333,2015,1
"2617510","01/03/2015 12:34:02 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10023","MANHATTAN",40.7706885715051,-73.9804647744742,2015,1
"2617772","01/03/2015 10:33:09 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7373413528795,-73.9930428637333,2015,1
"2620103","01/02/2015 10:12:21 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10029","MANHATTAN",40.7938174872185,-73.9440139908458,2015,1
